tweeter_tweetid,tweet,sentiment
_monana_626507788945125376,"@kadarmatyas én élőben tettem, a munkatàrsaidat nem olyan könnyű leblokkolni",3
aagitorok_620631032937775104,"ez a Conanes GRRM videó iszonyat béna, de nagyon hangosan röhögtem végig az egészet :DD",5
tocolade_559613056792399872,@KevinaZolvaso hihii elfelejtette behozni a dogát aztán meg jó akkor elhiszem hogy elolvastátok,4
niallphabetic_626856718690091009,"persze amúgy meg nem kell vissza írni...........................................nem tényleg nem, elég hogy csak elolvastad jólvan akkor.....",2
batacinti_537844599465988097,Elindultam dolgozni. Otthonhagytam a cigim és a kajàm. Egyszerencsétlen vagyok. Büdösek az emberek. Jóreggelt.,2
Judee0625_627139962962624512,"@mergenc klasszisokkal jobb,mint az előző ;D",4
orbanlevi_614466608241709056,"@ANDRISSZABO na szép vagy mondhatom, akkor követsz be mikor már sztár vagyok :D",4
team4world_626508975249473536,RT @wyctim: Aztán a Windows 10-ben szaggat a Mission Control?,3
adikenyeres_599122112834576384,vigyázó szemeim mindig a városra vetem 😄 @ Tresorit HQ https://t.co/O8wrn0HYkw,4
5Secondser_626015083924189184,addig leszakad az ujjaam. nem baj. van tű. meg cérna. #5SOSHUNGARY,3
BiroDavid_432227849513496576,olyan rendet vágtam a dolgozóba hogy még itthon sem volt ilyen hahaha #workflow #work http://t.co/ov6ox9NDtm,4
team4world_625983008697360384,@GergoDomotor mit kellett csinálni?,3
DarnyikSzilvia_534485429194850305,Szelfizé,3
fiterik_455565136141750272,@fiterik vagy globalba akarnak menni? A .com is az oveke...,3
bdzs_616275514416844800,"@kug reszben arrol szol sztem csak egy fiatalabb korcsoportnak, 18 even aluliak talan?",3
ChenendlerBong_615281917324304384,"Az utca elején aranyozott volt ma nyolckor  az ég,  a végében meg már lila és kék volt az ég alja. 🎠🎀 http://t.co/uklUu8exkO",4
niallphabetic_626083629853093888,"leakartam oltani a már eleve lekapcsolt villanyt, nem baj",3
lennoxasaki_628162660224364544,"Amikor megnézek egy John Hughes filmet, mindig elszomorodom, hogy mennyire nincs a mai korban a tini romkomoknak egy ilyen mestere.",2
viktoriaivan_612541902496337920,Im at Zugló vasútállomás in Budapest https://t.co/VzH48HpkHs,3
viktorlugosi_459309902935375872,Mai vendégünk 😜😃 @ Gelato Show http://t.co/dm04WCxm2b,4
mexxdesign_231849292820787200,Tudom mit fogok kérni a közeledő szülinapomra... már nagyon megérett a vételre egy digitális rajzpad... elengedhetetlen kellék/eszköz... :D,4
_PiSTI_627208196504059905,@pinterq jó móka az a másnapos meló! :D,4
gabornemethi_627798522901995520,"Néha komolyan aggódok amiatt, hogy Tom Cruise nem hallja egy nap elégszer, hogy mennyire király fickó.",2
kistatu_561528230059200512,"4éves a szókimondó,bölcs bájával odafordult hozzám, majd kimondta a lényeget: tudod, mit szeretek benned? hogy úgy szereted,ha ráncigálnak!",4
MoonAngel88_595576252007841793,Mindenki fagyizik meg èlvezi az egynapos nyarat èn meg dzsekiben ülök az irodàban és teàt iszok. 😂😡,2
borsionline_604200295749533696,"főnöki pozíciónál elvárás, hogy az illető manipulatív kétszínű seggfej legyen?  biztos nincs más választása.",1
lajoscseh_536496356433862656,RT @bodor_agi_95: @lajoscseh Jóvizsgaeredményeinkre ;) https://t.co/7JLSpyQrNp,4
LiloHari_617054182219116545,@urbkri Remélem a Pisti a gyógyszergyárban-t sem hagytad ott :),3
katkalap712_582252331925954561,"Ujjujjuj, mit találtam :DDD http://t.co/h300etTSor",4
kistatu_555292319839453184,"@csy mindenki ezt mondja, en is ezt mondanam magamnak,csak mar annyira elegem van, csak annyit akarok, hogy hagyjanak vegre beken",2
niallphabetic_625997969855246336,most is csak azért mert ma offos vagyok és van időm és nincs semmi a tv-be #5SOSHUNGARY,3
habosvilla_621696905744138240,Megtaláltuk egymást @3lchy -vel!!! :D #efott #efott2015 http://t.co/DwCnGqc8AU,4
szavi_619633338194755584,"Némelyek szerint szörnyűséges ember lehehetek, de ez nem igaz. Gyermeki szívem van - egy befőttes üvegben az íróasztalon. S.K.",2
bublikmate_610452093443440640,Frissültek a Google Consumer Barometer 2015 magyarországi adatai: https://t.co/U904p7v6Xs http://t.co/VZzQCLen05,3
eniko87_597792666584244224,A legszebb zenedoboz a világon ^^ https://t.co/Y6WsIBMRmh,3
iloveeamsterdam_577486446514274304,"Én biztos nem írok rá, de attól ő még írhatna...😟😞",2
lennoxasaki_628511301975842816,@Prodge1991 Az utolsó évadban már Daniel Day Lewis fogja alakítani Bran-t.,3
sophienyuszi_625245065972183040,"Mindenki mondjon el egy imat @pozzone -ert, epp most focizta le egy pluss Angry Birddel anya vazajat a boltivrol :,)))",4
barpaff_614489297329233920,Gyors vacsora készül. http://t.co/kihPAv6Dxj,3
Zzzzz_20194_627547087257866240,"#esbringa A csajok megmentették a napot, a csodás San Sebastian után alkottak egy igencsak rendben lévő versenyt. Szép estét mindenkinek!",4
fiterik_497435190839738368,@giivk jaja :) amikor beszereltem a gepbe nem hittem a szememnek...,3
tepi77_622851273545658372,"Nem én: XY aranyos nő, csak bizonyos dolgokban fura",3
dreamorreality_620253314479996928,Elkezdtem újranézni a Gilmore Girls-t és este fél 6-kor kávézom...,3
abale96_627829024069419008,@Attk4 ezt nem értem :(,3
lberes_623135069906038784,"Tetszőleges budapesti belvárosi helyee betérve verekednem kell, hogy ne angolul szólítsanak meg.",2
cattaro_623603420356845569,Már a standard reggel 6-os kelés tekintetében.,3
tamaskojo_489703194944368641,"Nem tudom mit rinyáltok megint, még mindig tart a lehülés. Csak kicsit megmikrózták.",2
StyleAndTheLife_618402387200462848,"@Mea_NPM most épp a viselkedése akasztott ki, de amúgy igazad van. mindig őt szerettem a legkevésbé négyük közül.",2
szbarnabas_624676098807320576,"@matkovsky elég szoros a kapcsolat a két sorozat között, csak szólok!",3
AlizGreenDayer_622850996289597440,@Urgod_ jó az is c:,3
sandorjano_564582121143300098,"Elsőnek a tv szarik be itthon, most már a wifi sem megy.. A mobilnet meg hulladék errefelé, olyan lassú, kb 0 lefedettség. #köszorbán",2
mgy1980_621749607970816000,mivan Zolika? alszol? #gera #fradi,2
Ittbentvagyok_618795599194927104,"Nos, úgy volt, hogy megyek ismerősökhöz, szóval, le is zuhanyoztam... aztán nem akartam újból, szóval, maradtam a fenekemen... #esőgondok",2
bianka5SOS_626523136125739008,jókor posztolok megint,3
mazik_bobe_578952963093340160,kivel fogok így fesztiválozni? :(:(:(:( @kata_PM,2
kissdani45_574569570448642048,"Szerdán ismét #Szeged, ismét #SlamPoetry, és ismét utolsó pillanatra hagyom az írást. Szóval ismételten #yolo",3
sea_flea_626817839522017280,"a római kömény az új kedvenc dolgom, miért nem fedeztem fel eddig?",4
Paaszti_612507291980550144,"@csigez Remek trilogia, föleg ez az első rész ütős.",4
fightclub29_628191823748538368,@sugaraddict lennék én is brit tudós :D,4
sztyuiphoto_621328347407216640,"@csibar Igen, kicsit az Apple is ilyen érzés néha.",3
plushbird_628251272802660352,@Frogcarrot @_Phelan_ én mindent szeretek!,4
KittiFarkasdy_628478908359442432,na akkor tanuljunk szavakat 😰,3
Midnite__625310661116063745,@szoges @gklka túl normálisak vagytok :)),4
timarmatyas_505472033334263808,Nézz be a Skype redmondi irodájába! http://t.co/cYimeeXokR,3
csiguszka_622136335978098688,"@Zsu_u lehet h el van rejtve benne az egy gyuru. ovatosan egyetek nehogy megakadjon :D ez jobb, mint egy sterek fanfic",4
csaloganycsok_602328117798162432,"Pedig csak egy varosfelfedezos, meghitt és csendes napra vágyom végre :) #pff",3
kisvolga_482248949332713472,még mindig nem sikerült napirendre térnem a nosalty-n lévő puffadáskalkulátor #napszava felett.,3
AnnaHaranyi_625997239123636224,"@AdriennSiklsi azon csodálkozom, hogy senki nem csapta le ezt a magas labdát eddig. @mergenc @ZotoWitch nyaraltok? Esik! ;)",4
DorkaMez_626780072620490753,Ebayen árulnak rendes családot?,3
aagitorok_611640132026920960,"óó de ne már, hogy vége az évadnak :( köszi a feliratokat, @megyerikrisz és @szigony_ ! #SiliconValley",2
